Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-07-10,Groceries,Cash,Snacks and drinks for the week,466.47,13.76
2024-07-24,Transportation,Net Banking,Uber ride to the airport,988.17,3.23
2024-07-12,Gifts,Credit Card,Holiday gift,495.74,15.65
2024-07-26,Personal,Net Banking,Personal care products,564.51,37.65
2024-07-28,Travel,Credit Card,Travel insurance,10.87,0.36
2024-07-13,Transportation,Debit Card,Parking fees,249.95,22.39
2024-07-26,Personal,UPI,Hobby supplies,940.97,75.85
2024-07-03,Food,Cash,Takeout from a local diner,429.5,14.95
2024-07-27,Personal,Net Banking,Books and stationery,988.15,57.28
2024-07-27,Transportation,Debit Card,Taxi fare to a meeting,492.4,8.82
2024-07-13,Investment,Cash,Real estate investment,282.18,0.0
2024-07-19,Groceries,Cash,Household supplies,562.3,6.06
2024-07-15,Groceries,UPI,Buying meat and dairy products,765.3,14.26
2024-07-19,Entertainment,Cash,Dining out with friends,641.52,42.9
2024-07-18,Groceries,Credit Card,Buying meat and dairy products,410.4,6.79
2024-07-09,Gifts,Cash,Charity donation,558.99,19.16
2024-07-28,Personal,Cash,Hobby supplies,237.09,5.4
2024-07-11,Gifts,Debit Card,Holiday gift,351.15,34.57
2024-07-26,Entertainment,UPI,Movie tickets for the weekend,826.76,30.15
2024-07-23,Groceries,Credit Card,Buying meat and dairy products,80.58,4.18
2024-07-09,Travel,Debit Card,Sightseeing tour tickets,32.9,3.04
2024-07-22,Travel,UPI,Car rental for the trip,532.27,42.51
2024-07-28,Gifts,Credit Card,Gift for a colleague,696.07,15.29
2024-07-15,Subscriptions,Debit Card,Monthly magazine subscription,60.04,2.16
2024-07-02,Food,UPI,Coffee and pastries at a café,610.51,59.04
2024-07-14,Bills,Credit Card,Insurance premium payment,519.34,6.51
2024-07-09,Bills,Credit Card,Insurance premium payment,533.67,46.17
2024-07-27,Personal,UPI,Hobby supplies,890.05,51.79
2024-07-07,Entertainment,Debit Card,Concert tickets,412.84,20.25
2024-07-08,Groceries,Credit Card,Snacks and drinks for the week,498.69,20.79
2024-07-23,Travel,Cash,Flight tickets to a destination,890.63,26.95
2024-07-08,Personal,Debit Card,Personal care products,308.6,2.48
2024-07-28,Investment,Cash,Dividend reinvestment,323.81,0.0
2024-07-08,Investment,Credit Card,Dividend reinvestment,511.03,0.0
2024-07-05,Personal,Net Banking,Hobby supplies,684.97,47.23
2024-07-26,Food,Credit Card,Lunch with friends,130.43,7.73
2024-07-08,Groceries,Net Banking,Buying meat and dairy products,448.94,27.28
2024-07-09,Food,Debit Card,Coffee and pastries at a café,502.06,3.35
2024-07-10,Personal,Credit Card,Hobby supplies,536.34,6.15
2024-07-14,Food,Credit Card,Lunch with friends,956.9,20.24
