Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-08-14,Investment,Net Banking,Real estate investment,716.75,0.0
2024-08-23,Bills,Credit Card,Water bill payment,288.05,3.7
2024-08-13,Entertainment,Net Banking,Video game purchase,291.08,12.78
2024-08-25,Bills,Debit Card,Electricity bill payment,901.37,19.41
2024-08-04,Travel,UPI,Car rental for the trip,361.53,21.3
2024-08-23,Personal,Net Banking,Clothing purchase,110.17,4.77
2024-08-29,Travel,Net Banking,Car rental for the trip,26.44,0.7
2024-08-11,Subscriptions,Cash,Software subscription,994.38,85.36
2024-08-03,Groceries,Cash,Snacks and drinks for the week,466.24,23.3
2024-08-14,Personal,Net Banking,Personal care products,804.35,60.12
2024-08-18,Groceries,Net Banking,Snacks and drinks for the week,620.53,34.34
2024-08-02,Groceries,Cash,Household supplies,621.7,31.43
2024-08-19,Entertainment,UPI,Concert tickets,551.19,43.89
2024-08-01,Food,UPI,Snacks for cravings,411.87,3.12
2024-08-17,Gifts,Net Banking,Gift for a colleague,355.86,3.88
2024-08-07,Personal,UPI,Clothing purchase,165.55,14.04
2024-08-01,Investment,Cash,Investment in startup,620.94,0.0
2024-08-05,Groceries,UPI,Household supplies,201.95,5.3
2024-08-18,Entertainment,Debit Card,Streaming service subscription,929.33,32.38
2024-08-23,Travel,Net Banking,Hotel booking for vacation,902.23,15.34
2024-08-17,Subscriptions,Cash,Online course fee,341.56,6.37
2024-08-13,Personal,Debit Card,Personal care products,91.49,5.36
2024-08-03,Food,Debit Card,Snacks for cravings,950.17,62.83
2024-08-21,Investment,Net Banking,Dividend reinvestment,282.22,0.0
2024-08-14,Transportation,UPI,Uber ride to the airport,246.16,14.73
2024-08-02,Entertainment,Credit Card,Concert tickets,239.46,3.25
2024-08-24,Groceries,Credit Card,Household supplies,774.59,54.02
2024-08-04,Personal,Debit Card,Hobby supplies,21.42,0.43
2024-08-04,Travel,UPI,Hotel booking for vacation,966.06,64.51
2024-08-18,Gifts,Cash,Birthday gift for a friend,360.27,7.2
2024-08-05,Bills,Cash,Water bill payment,958.56,87.28
2024-08-13,Subscriptions,Debit Card,Streaming service subscription,464.02,38.6
2024-08-08,Transportation,Cash,Parking fees,28.25,2.53
2024-08-03,Entertainment,UPI,Video game purchase,13.82,0.8
2024-08-29,Groceries,Cash,Household supplies,904.79,30.15
2024-08-01,Investment,Net Banking,Retirement account contribution,256.07,0.0
2024-08-21,Entertainment,Debit Card,Dining out with friends,196.45,9.14
2024-08-20,Personal,UPI,Hobby supplies,882.18,12.12
2024-08-19,Groceries,Net Banking,Snacks and drinks for the week,210.03,19.25
2024-08-16,Groceries,UPI,Weekly grocery shopping,399.33,28.28
2024-08-25,Entertainment,UPI,Streaming service subscription,474.76,16.56
2024-08-14,Bills,UPI,Insurance premium payment,500.95,27.65
2024-08-22,Gifts,Debit Card,Charity donation,840.32,24.26
2024-08-24,Bills,Debit Card,Internet service charge,752.95,19.65
2024-08-12,Transportation,Debit Card,Uber ride to the airport,367.4,11.18
2024-08-03,Investment,UPI,Bond investment,827.21,0.0
2024-08-07,Investment,Credit Card,Real estate investment,385.11,0.0
2024-08-20,Food,Credit Card,Takeout from a local diner,283.44,12.29
2024-08-10,Investment,Cash,Mutual fund contribution,937.65,0.0
2024-08-21,Subscriptions,Credit Card,Gym membership,143.08,11.41
2024-08-01,Gifts,Cash,Charity donation,27.73,0.7
2024-08-27,Bills,Cash,Electricity bill payment,245.14,8.79
2024-08-22,Personal,Net Banking,Hobby supplies,642.3,30.83
2024-08-02,Personal,UPI,Clothing purchase,843.16,58.6
2024-08-20,Personal,Net Banking,Clothing purchase,777.63,70.21
2024-08-17,Bills,Cash,Insurance premium payment,140.36,4.84
2024-08-28,Entertainment,Net Banking,Streaming service subscription,114.22,5.17
2024-08-20,Gifts,Credit Card,Holiday gift,202.37,12.56
2024-08-02,Travel,Cash,Car rental for the trip,313.09,19.38
2024-08-06,Bills,Credit Card,Water bill payment,794.85,51.03
2024-08-20,Food,Credit Card,Dinner at a restaurant,245.75,17.48
2024-08-27,Food,UPI,Takeout from a local diner,120.58,9.65
2024-08-11,Bills,UPI,Insurance premium payment,6.48,0.18
2024-08-27,Entertainment,Cash,Video game purchase,965.11,7.01
2024-08-18,Subscriptions,UPI,Gym membership,169.02,14.67
2024-08-11,Bills,Debit Card,Water bill payment,343.75,28.63
2024-08-15,Gifts,UPI,Charity donation,891.36,19.85
2024-08-25,Bills,Cash,Internet service charge,837.78,76.13
2024-08-04,Transportation,UPI,Taxi fare to a meeting,632.86,49.63
2024-08-20,Food,Credit Card,Takeout from a local diner,490.5,24.56
2024-08-22,Travel,UPI,Flight tickets to a destination,950.39,35.85
2024-08-06,Gifts,Debit Card,Gift for a colleague,33.35,2.33
2024-08-25,Food,Credit Card,Dinner at a restaurant,979.48,28.19
2024-08-06,Food,Debit Card,Snacks for cravings,602.46,24.98
2024-08-20,Groceries,UPI,Buying meat and dairy products,759.54,74.98
2024-08-30,Transportation,Net Banking,Parking fees,407.49,4.51
2024-08-12,Travel,Net Banking,Sightseeing tour tickets,515.15,26.35
2024-08-19,Bills,Credit Card,Insurance premium payment,813.41,30.29
2024-08-12,Bills,Credit Card,Mobile phone bill,222.27,0.7
2024-08-30,Entertainment,Credit Card,Streaming service subscription,848.87,45.27
2024-08-25,Transportation,Credit Card,Uber ride to the airport,782.68,73.08
2024-08-13,Groceries,Credit Card,Buying fresh produce,482.67,17.27
2024-08-18,Travel,Debit Card,Car rental for the trip,831.81,39.86
2024-08-20,Food,Cash,Snacks for cravings,305.41,14.74
2024-08-05,Bills,Debit Card,Electricity bill payment,195.34,12.98
2024-08-18,Transportation,Cash,Uber ride to the airport,806.01,15.03
2024-08-04,Entertainment,Cash,Dining out with friends,19.82,1.13
2024-08-14,Travel,UPI,Hotel booking for vacation,561.43,25.59
2024-08-18,Groceries,UPI,Buying fresh produce,954.28,72.7
2024-08-28,Personal,UPI,Personal care products,830.95,75.0
2024-08-07,Personal,Cash,Hobby supplies,596.98,51.32
2024-08-06,Transportation,Cash,Public transport monthly pass,309.71,27.53
2024-08-28,Subscriptions,UPI,Gym membership,496.81,18.21
2024-08-19,Personal,Net Banking,Books and stationery,464.31,11.66
2024-08-27,Bills,Net Banking,Internet service charge,592.72,4.91
2024-08-03,Subscriptions,Debit Card,Monthly magazine subscription,195.21,9.17
2024-08-28,Entertainment,Net Banking,Concert tickets,524.96,41.36
2024-08-24,Subscriptions,Credit Card,Monthly magazine subscription,58.95,5.75
2024-08-01,Entertainment,Cash,Streaming service subscription,443.35,31.92
2024-08-22,Food,Cash,Takeout from a local diner,906.69,36.31
