Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-14,Entertainment,Cash,Dining out with friends,189.73,6.83
2024-10-05,Personal,Net Banking,Clothing purchase,420.12,38.0
2024-10-22,Investment,Net Banking,Mutual fund contribution,225.06,0.0
2024-10-08,Transportation,UPI,Taxi fare to a meeting,631.43,54.77
2024-10-04,Food,Net Banking,Dinner at a restaurant,860.11,5.4
2024-10-05,Transportation,Net Banking,Gas for the car,36.74,2.58
2024-10-02,Food,Net Banking,Dinner at a restaurant,109.4,1.11
2024-10-27,Bills,Debit Card,Internet service charge,213.27,1.7
2024-10-01,Groceries,Net Banking,Buying fresh produce,551.85,5.89
2024-10-15,Groceries,Cash,Snacks and drinks for the week,962.52,31.93
2024-10-19,Personal,Debit Card,Clothing purchase,933.91,11.42
2024-10-15,Travel,Credit Card,Flight tickets to a destination,826.7,16.08
2024-10-30,Personal,Debit Card,Hobby supplies,448.14,43.01
2024-10-27,Transportation,Cash,Parking fees,923.86,9.79
2024-10-27,Gifts,Credit Card,Anniversary gift,641.79,60.35
2024-10-22,Subscriptions,Net Banking,Online course fee,351.06,23.5
2024-10-29,Subscriptions,Debit Card,Gym membership,191.23,2.06
2024-10-26,Groceries,Debit Card,Snacks and drinks for the week,465.29,27.42
2024-10-09,Travel,Debit Card,Travel insurance,293.06,11.24
2024-10-24,Personal,Net Banking,Personal care products,730.91,3.57
2024-10-28,Gifts,Net Banking,Birthday gift for a friend,590.83,48.96
2024-10-27,Entertainment,Cash,Movie tickets for the weekend,360.73,6.62
2024-10-18,Groceries,Cash,Household supplies,368.46,31.01
2024-10-09,Bills,UPI,Insurance premium payment,115.19,0.54
2024-10-24,Investment,Debit Card,Cryptocurrency purchase,198.25,0.0
2024-10-06,Travel,Net Banking,Sightseeing tour tickets,887.84,3.14
2024-10-05,Bills,Net Banking,Internet service charge,224.93,11.98
2024-10-01,Entertainment,Cash,Dining out with friends,963.59,0.52
2024-10-14,Travel,Cash,Travel insurance,899.3,56.56
2024-10-12,Travel,UPI,Sightseeing tour tickets,813.54,47.29
2024-10-05,Food,Cash,Snacks for cravings,193.74,12.56
2024-10-05,Travel,Net Banking,Flight tickets to a destination,983.41,60.0
2024-10-07,Groceries,Debit Card,Household supplies,405.23,20.05
2024-10-13,Entertainment,Cash,Video game purchase,328.78,14.73
2024-10-01,Groceries,UPI,Household supplies,993.76,74.2
2024-10-01,Bills,Credit Card,Insurance premium payment,370.6,33.96
2024-10-07,Groceries,Debit Card,Weekly grocery shopping,884.79,68.58
2024-10-06,Groceries,Debit Card,Buying meat and dairy products,924.53,8.49
2024-10-11,Investment,Debit Card,Bond investment,739.8,0.0
2024-10-30,Personal,Net Banking,Books and stationery,804.9,0.08
2024-10-15,Bills,Net Banking,Electricity bill payment,768.97,40.69
2024-10-02,Bills,Debit Card,Water bill payment,290.21,0.98
2024-10-12,Food,Credit Card,Takeout from a local diner,200.56,15.67
2024-10-13,Investment,Net Banking,Cryptocurrency purchase,585.6,0.0
2024-10-27,Transportation,Credit Card,Taxi fare to a meeting,988.92,91.55
2024-10-11,Groceries,Net Banking,Household supplies,168.34,12.65
2024-10-22,Subscriptions,Debit Card,Software subscription,413.81,38.9
2024-10-29,Subscriptions,Net Banking,Online course fee,724.78,10.07
2024-10-30,Travel,Credit Card,Car rental for the trip,292.93,19.11
2024-10-15,Personal,Cash,Clothing purchase,915.03,59.19
2024-10-23,Investment,Credit Card,Investment in startup,396.15,0.0
2024-10-09,Gifts,Credit Card,Charity donation,777.3,77.64
2024-10-29,Entertainment,Credit Card,Video game purchase,182.49,0.18
2024-10-18,Entertainment,Cash,Dining out with friends,282.82,2.09
2024-10-14,Travel,Debit Card,Flight tickets to a destination,18.56,1.86
2024-10-23,Gifts,Net Banking,Birthday gift for a friend,327.69,22.03
2024-10-18,Bills,Debit Card,Internet service charge,330.18,13.96
2024-10-01,Entertainment,UPI,Video game purchase,112.04,1.75
2024-10-20,Entertainment,Cash,Concert tickets,522.82,9.65
2024-10-10,Gifts,Cash,Gift for a colleague,276.75,17.93
2024-10-09,Groceries,Cash,Household supplies,764.53,45.31
2024-10-10,Transportation,Debit Card,Parking fees,80.7,1.23
2024-10-19,Transportation,Debit Card,Gas for the car,639.44,16.39
2024-10-16,Gifts,Credit Card,Birthday gift for a friend,756.29,5.0
2024-10-19,Investment,Credit Card,Stock purchase,648.09,0.0
2024-10-07,Transportation,Debit Card,Taxi fare to a meeting,760.46,49.24
2024-10-03,Investment,Cash,Stock purchase,347.66,0.0
2024-10-30,Subscriptions,Debit Card,Monthly magazine subscription,883.22,13.85
2024-10-16,Transportation,Credit Card,Uber ride to the airport,427.08,36.85
2024-10-03,Bills,Net Banking,Mobile phone bill,75.12,0.23
2024-10-19,Transportation,Credit Card,Parking fees,359.74,31.38
2024-10-17,Entertainment,UPI,Video game purchase,748.19,9.24
2024-10-27,Travel,Cash,Sightseeing tour tickets,18.69,0.96
2024-10-11,Investment,Debit Card,Retirement account contribution,247.87,0.0
2024-10-03,Entertainment,UPI,Movie tickets for the weekend,235.88,20.28
2024-10-12,Food,Debit Card,Takeout from a local diner,884.79,11.92
2024-10-16,Personal,Cash,Hobby supplies,828.09,16.83
2024-10-22,Entertainment,Credit Card,Movie tickets for the weekend,885.34,47.13
2024-10-18,Food,Cash,Lunch with friends,665.75,26.35
